ITEM,NOMBREEMPRESA,RUTA,TOTALFLOTA,Provincia
63,"TURISMO NEGREIROS S.A
",Trujillo - Santiago de Chuco y Viceversa,3,SANTIAGO DE CHUCO 
64,EMP.TRANSP. CAIPO  S.R.L.,Trujillo - Retamas y Viceversa,2,PATAZ 
65,EMP. TRANSP. ALFARO S.R.L.,Trujillo - Retamas y Viceversa,2,PATAZ 
66,CORPORACION HORIZONTE S.A.C.,Trujillo - Huacapongo y Viceversa,3,VIRU
67,EMP.DE TRANSP.EL TIGRE S.A.C.,Trujillo - Chao y Viceversa,11,VIRU
68,AVICEL TOURS  S.A.C.,Trujillo - Huncaquito y Viceversa,13,VIRU
69,E. T. SERV.TURISTICOS PUR PUR SAC.,Trujillo - Chao y Viceversa,9,VIRU
70,E.T.PASJ.TURIS.CHAO BUENAVISTA SRL,Trujillo - Chao y Viceversa,11,VIRU
71,EMP.DE TRANSP.Y TURISMO CHAVIT SA,Trujillo - Viru y Viceversa,13,VIRU
72,E.T. TURISMO VIRU S.R.L.,Trujillo - Viru y Viceversa,12,VIRU
73,EMP.TRANSP.TURIS.PANAMERICANO S.A.,Trujillo - Saraque y Viceversa,9,VIRU
74,TRANSP. Y TURISMO HORIZONTE S.A.C.,Trujillo - Huacapongo y Viceversa,7,VIRU
75,SERV. GEN. Y TURIS. MILAGRITOS S.A.C.,Trujillo - Chao y Viceversa,16,VIRU
76,TURISMO BRICEÑO SAC.,Trujillo - Viru y Viceversa,14,VIRU
